Treatment,CouponID,ProbeDepth,PercentageAtDepth
SulfideOnly,6,16.8802,0.683419
SulfideOnly,6,17.6475,0.577932
SulfideOnly,6,18.4148,0.529348
SulfideOnly,6,19.1821,0.483309
SulfideOnly,6,19.9493,0.445869
SulfideOnly,6,20.7166,0.415318
SulfideOnly,6,21.4839,0.384656
SulfideOnly,6,22.2512,0.364376
SulfideOnly,6,23.0185,0.320194
SulfideOnly,6,23.7858,0.282382
SulfideOnly,6,24.553,0.259168
SulfideOnly,6,25.3203,0.230047
SulfideOnly,6,26.0876,0.197863
SulfideOnly,6,26.8549,0.154033
SulfideOnly,6,27.6222,0.111021
SulfideOnly,6,28.3894,0.0521307
SulfideOnly,6,29.1567,0.0122016
SulfideOnly,6,29.924,0.00191288
SulfideOnly,6,30.6913,0.00011143
SulfideOnly,7,0,0
SulfideOnly,7,0.417966,9.23291E-05
SulfideOnly,7,0.835932,0.00022159
SulfideOnly,7,1.2539,0.000295453
SulfideOnly,7,1.67186,0.000517043
SulfideOnly,7,2.08983,0.00142187
SulfideOnly,7,2.5078,0.00448719
SulfideOnly,7,2.92576,0.0194445
SulfideOnly,7,3.34373,0.102264
SulfideOnly,7,3.76169,0.473685
SulfideOnly,7,4.17966,1.57207
SulfideOnly,7,4.59763,3.81526
SulfideOnly,7,5.01559,7.03393
SulfideOnly,7,5.43356,9.88176
SulfideOnly,7,5.85153,11.9215
SulfideOnly,7,6.26949,12.8995
SulfideOnly,7,6.68746,12.6236
SulfideOnly,7,7.10542,10.654
SulfideOnly,7,7.52339,8.07649
SulfideOnly,7,7.94136,5.7887
SulfideOnly,7,8.35932,4.0635
SulfideOnly,7,8.77729,2.99026
SulfideOnly,7,9.19525,2.20655
SulfideOnly,7,9.61322,1.60012
SulfideOnly,7,10.0312,1.12616
SulfideOnly,7,10.4492,0.846529
SulfideOnly,7,10.8671,0.658547
SulfideOnly,7,11.2851,0.521936
SulfideOnly,7,11.7031,0.399176
SulfideOnly,7,12.121,0.298592
SulfideOnly,7,12.539,0.210233
SulfideOnly,7,12.9569,0.118052
SulfideOnly,7,13.3749,0.0574841
SulfideOnly,7,13.7929,0.023747
SulfideOnly,7,14.2108,0.0071832
SulfideOnly,7,14.6288,0.00190198
SulfideOnly,7,15.0468,0.000609372
SulfideOnly,7,15.4647,0.000110795
SulfideOnly,7,15.8827,0.000110795
SulfideOnly,7,16.3007,1.84658E-05
SulfideOnly,7,16.7186,0
SulfideOnly,8,0,0
SulfideOnly,8,0.355385,0.130538
SulfideOnly,8,0.710771,0.532873
SulfideOnly,8,1.06616,1.65748
SulfideOnly,8,1.42154,3.83355
SulfideOnly,8,1.77693,6.75772
SulfideOnly,8,2.13231,9.63739
SulfideOnly,8,2.4877,11.5153
SulfideOnly,8,2.84308,12.1452
SulfideOnly,8,3.19847,12.1032
SulfideOnly,8,3.55385,10.5132
SulfideOnly,8,3.90924,8.34016
SulfideOnly,8,4.26462,5.93
SulfideOnly,8,4.62001,3.89852
SulfideOnly,8,4.9754,2.56898
SulfideOnly,8,5.33078,1.81367
SulfideOnly,8,5.68617,1.34111
SulfideOnly,8,6.04155,1.00498
SulfideOnly,8,6.39694,0.762627
SulfideOnly,8,6.75232,0.597525
SulfideOnly,8,7.10771,0.469706
SulfideOnly,8,7.46309,0.40269
SulfideOnly,8,7.81848,0.365678
SulfideOnly,8,8.17386,0.334187
SulfideOnly,8,8.52925,0.315783
SulfideOnly,8,8.88463,0.291097
SulfideOnly,8,9.24002,0.270784
SulfideOnly,8,9.59541,0.251417
SulfideOnly,8,9.95079,0.228302
SulfideOnly,8,10.3062,0.217951
SulfideOnly,8,10.6616,0.200796
SulfideOnly,8,11.0169,0.191644
SulfideOnly,8,11.3723,0.181142
SulfideOnly,8,11.7277,0.174996
SulfideOnly,8,12.0831,0.169424
SulfideOnly,8,12.4385,0.1611
SulfideOnly,8,12.7939,0.150091
SulfideOnly,8,13.1493,0.140736
SulfideOnly,8,13.5046,0.139858
SulfideOnly,8,13.86,0.147136
SulfideOnly,8,14.2154,0.109752
SulfideOnly,9,0,0
SulfideOnly,9,0.53052,0.1813
SulfideOnly,9,1.06104,1.31487
SulfideOnly,9,1.59156,4.08479
SulfideOnly,9,2.12208,6.99189
SulfideOnly,9,2.6526,8.31742
SulfideOnly,9,3.18312,7.72847
SulfideOnly,9,3.71364,7.2713
SulfideOnly,9,4.24416,7.40607
SulfideOnly,9,4.77468,6.97261
SulfideOnly,9,5.3052,6.35974
SulfideOnly,9,5.83572,6.02892
SulfideOnly,9,6.36624,5.65309
SulfideOnly,9,6.89676,5.02069
SulfideOnly,9,7.42728,4.20418
SulfideOnly,9,7.9578,3.68986
SulfideOnly,9,8.48832,3.26895
SulfideOnly,9,9.01884,2.83625
SulfideOnly,9,9.54936,2.40095
SulfideOnly,9,10.0799,1.9759
SulfideOnly,9,10.6104,1.58944
SulfideOnly,9,11.1409,1.23948
SulfideOnly,9,11.6714,0.902748
SulfideOnly,9,12.202,0.649688
SulfideOnly,9,12.7325,0.512827
SulfideOnly,9,13.263,0.443855
SulfideOnly,9,13.7935,0.409065
SulfideOnly,9,14.324,0.383906
SulfideOnly,9,14.8546,0.352749
SulfideOnly,9,15.3851,0.311538
SulfideOnly,9,15.9156,0.278708
SulfideOnly,9,16.4461,0.240742
SulfideOnly,9,16.9766,0.197199
SulfideOnly,9,17.5072,0.156124
SulfideOnly,9,18.0377,0.121182
SulfideOnly,9,18.5682,0.105232
SulfideOnly,9,19.0987,0.0902951
SulfideOnly,9,19.6292,0.0826916
SulfideOnly,9,20.1598,0.0779606
SulfideOnly,9,20.6903,0.0758823
SulfideOnly,9,21.2208,0.0698334
SulfideOnly,10,0,0
SulfideOnly,10,0.630413,0.00447245
SulfideOnly,10,1.26083,0.0548722
SulfideOnly,10,1.89124,0.504523
SulfideOnly,10,2.52165,2.46278
SulfideOnly,10,3.15207,6.21409
SulfideOnly,10,3.78248,9.85473
SulfideOnly,10,4.41289,11.1907
SulfideOnly,10,5.04331,10.5629
SulfideOnly,10,5.67372,8.78827
SulfideOnly,10,6.30413,6.66554
SulfideOnly,10,6.93455,5.30349
SulfideOnly,10,7.56496,4.45456
SulfideOnly,10,8.19537,3.64203
SulfideOnly,10,8.82579,3.13141
SulfideOnly,10,9.4562,2.78034
SulfideOnly,10,10.0866,2.44011
SulfideOnly,10,10.717,2.08616
SulfideOnly,10,11.3474,1.86049
SulfideOnly,10,11.9779,1.71151
SulfideOnly,10,12.6083,1.61635
SulfideOnly,10,13.2387,1.47326
SulfideOnly,10,13.8691,1.36569
SulfideOnly,10,14.4995,1.28551
SulfideOnly,10,15.1299,1.14578
SulfideOnly,10,15.7603,1.07029
SulfideOnly,10,16.3907,0.978466
SulfideOnly,10,17.0212,0.901384
SulfideOnly,10,17.6516,0.811292
SulfideOnly,10,18.282,0.729483
SulfideOnly,10,18.9124,0.668834
SulfideOnly,10,19.5428,0.616385
SulfideOnly,10,20.1732,0.561157
SulfideOnly,10,20.8036,0.510808
SulfideOnly,10,21.4341,0.479805
SulfideOnly,10,22.0645,0.445178
SulfideOnly,10,22.6949,0.394626
SulfideOnly,10,23.3253,0.351663
SulfideOnly,10,23.9557,0.309988
SulfideOnly,10,24.5861,0.295198
SulfideOnly,10,25.2165,0.269855
SulfideOnly,11,0,0
SulfideOnly,11,0.161344,0.0999025
SulfideOnly,11,0.322687,0.211955
SulfideOnly,11,0.484031,0.460783
SulfideOnly,11,0.645374,0.838388
SulfideOnly,11,0.806718,1.44951
SulfideOnly,11,0.968061,2.32982
SulfideOnly,11,1.1294,3.6536
SulfideOnly,11,1.29075,4.90378
SulfideOnly,11,1.45209,6.33463
SulfideOnly,11,1.61344,7.58844
SulfideOnly,11,1.77478,8.48984
SulfideOnly,11,1.93612,9.21459
SulfideOnly,11,2.09747,8.61995
SulfideOnly,11,2.25881,7.91113
SulfideOnly,11,2.42015,6.8697
SulfideOnly,11,2.5815,5.92742
SulfideOnly,11,2.74284,4.56657
SulfideOnly,11,2.90418,3.62369
SulfideOnly,11,3.06553,2.87837
SulfideOnly,11,3.22687,2.37619
SulfideOnly,11,3.38821,1.85027
SulfideOnly,11,3.54956,1.5303
SulfideOnly,11,3.7109,1.29922
SulfideOnly,11,3.87224,1.09469
SulfideOnly,11,4.03359,0.966573
SulfideOnly,11,4.19493,0.789044
SulfideOnly,11,4.35627,0.673532
SulfideOnly,11,4.51762,0.57827
SulfideOnly,11,4.67896,0.506043
SulfideOnly,11,4.84031,0.414241
SulfideOnly,11,5.00165,0.353051
SulfideOnly,11,5.16299,0.295134
SulfideOnly,11,5.32434,0.249959
SulfideOnly,11,5.48568,0.222907
SulfideOnly,11,5.64702,0.189562
SulfideOnly,11,5.80837,0.165025
SulfideOnly,11,5.96971,0.151001
SulfideOnly,11,6.13105,0.134075
SulfideOnly,11,6.2924,0.109319
SulfideOnly,11,6.45374,0.0764288
SulfideOnly,12,0,0
SulfideOnly,12,0.182515,0.0192731
SulfideOnly,12,0.365029,0.0286263
SulfideOnly,12,0.547544,0.0464307
SulfideOnly,12,0.730058,0.072738
SulfideOnly,12,0.912573,0.122647
SulfideOnly,12,1.09509,0.222156
SulfideOnly,12,1.2776,0.40672
SulfideOnly,12,1.46012,0.748457
SulfideOnly,12,1.64263,1.32327
SulfideOnly,12,1.82515,2.19536
SulfideOnly,12,2.00766,3.60899
SulfideOnly,12,2.19018,5.08259
SulfideOnly,12,2.37269,6.84294
SulfideOnly,12,2.5552,8.43859
SulfideOnly,12,2.73772,9.64702
SulfideOnly,12,2.92023,10.1779
SulfideOnly,12,3.10275,9.95717
SulfideOnly,12,3.28526,9.10109
SulfideOnly,12,3.46778,7.75939
SulfideOnly,12,3.65029,6.3063
SulfideOnly,12,3.83281,4.86742
SulfideOnly,12,4.01532,3.61662
SulfideOnly,12,4.19784,2.6306
SulfideOnly,12,4.38035,1.88423
SulfideOnly,12,4.56287,1.33234
SulfideOnly,12,4.74538,0.926347
SulfideOnly,12,4.92789,0.648407
SulfideOnly,12,5.11041,0.457582
SulfideOnly,12,5.29292,0.329421
SulfideOnly,12,5.47544,0.244882
SulfideOnly,12,5.65795,0.190206
SulfideOnly,12,5.84047,0.152484
SulfideOnly,12,6.02298,0.125121
SulfideOnly,12,6.2055,0.103864
SulfideOnly,12,6.38801,0.0921399
SulfideOnly,12,6.57053,0.0789219
SulfideOnly,12,6.75304,0.0694914
SulfideOnly,12,6.93556,0.0602671
SulfideOnly,12,7.11807,0.046508
SulfideOnly,12,7.30058,0.0343206
SulfideOnly,13,0,0
SulfideOnly,13,0.40338,0.0109641
